rows,direction,part,of,file,start,end,pass,varietal,scanid
37,dir2,2,2,2017-08-31_12-45_22179667_12_58.tar.gz,766.8,775.65,1,cabernet sauvignon,2017-08-31_12-45
39,dir1,1,1,2017-08-31_12-45_22179667_12_58.tar.gz,780.1,814.7,1,cabernet sauvignon,2017-08-31_12-45
39,dir2,1,2,2017-08-31_12-45_22179667_12_58.tar.gz,819.85,826.7,1,cabernet sauvignon,2017-08-31_12-45
39,dir2,2,2,2017-08-31_12-45_22179667_12_59.tar.gz,826.75,833.45,1,cabernet sauvignon,2017-08-31_12-45
41,dir1,1,1,2017-08-31_12-45_22179667_12_59.tar.gz,838,864.55,1,cabernet sauvignon,2017-08-31_12-45
41,dir2,1,1,2017-08-31_12-45_22179667_12_59.tar.gz,870.7,880,1,cabernet sauvignon,2017-08-31_12-45
43,dir1,1,2,2017-08-31_12-45_22179667_12_59.tar.gz,884.9,886.6,1,cabernet sauvignon,2017-08-31_12-45
43,dir1,2,2,2017-08-31_12-45_22179667_13_00.tar.gz,886.65,908.8,1,cabernet sauvignon,2017-08-31_12-45
43,dir2,1,1,2017-08-31_12-45_22179667_13_00.tar.gz,913.55,925.1,1,cabernet sauvignon,2017-08-31_12-45
45,dir1,1,2,2017-08-31_12-45_22179667_13_00.tar.gz,929.8,946.7,1,cabernet sauvignon,2017-08-31_12-45
45,dir1,2,2,2017-08-31_12-45_22179667_13_01.tar.gz,946.75,955.55,1,cabernet sauvignon,2017-08-31_12-45
45,dir2,1,1,2017-08-31_12-45_22179667_13_01.tar.gz,972.55,996.95,1,cabernet sauvignon,2017-08-31_12-45
47,dir1,1,2,2017-08-31_12-45_22179667_13_01.tar.gz,1001.55,1005.75,1,cabernet sauvignon,2017-08-31_12-45
47,dir1,2,2,2017-08-31_12-45_22179667_13_02.tar.gz,1005.8,1053.05,1,cabernet sauvignon,2017-08-31_12-45
